product_id,sku,name,slug,permalink,currency,price_pkr,regular_price_pkr,sale_price_pkr,on_sale,is_in_stock,is_purchasable,low_stock_remaining,average_rating,review_count,category_list,primary_category,tag_list,primary_tag,artist,medium,size_text,description_text,width,height,depth,area_2d,title_length,description_length,is_artwork_estimate
4892,AR-164892,Alhamdulillah 🌹,alhamdulillah-%f0%9f%8c%b9,https://artreserves.com/product/alhamdulillah-%f0%9f%8c%b9/,PKR,5000.0,7000.0,5000.0,True,True,True,,0,0,Acrylic Paintings|Paintings,Acrylic Paintings,Acrylic on Canvas,Acrylic on Canvas,,,12 X 12 INCHES,"If you’re grateful, I will surely increase you (in favor) ~ Al-Qura’an 🌻",12.0,12.0,,144.0,15,72,True
1302,AR-651302,Transformation I,transformation-i,https://artreserves.com/product/transformation-i/,PKR,95000.0,95000.0,95000.0,False,True,True,1,0,0,Paintings,Paintings,Gouache on Wasli,Gouache on Wasli,,,9.84 x 12.6 INCHES,"Shumaila Islam Biography Born in Lahore, Pakistan, she is M.Phil in studio Practice Finearts from PUCAD. She has acquired training of calligraphy from CCRS-NCA. She has displayed her work in more than 25 group shows on renowned national art platforms and one calligraphy group show in Turkey. She has been part of artist residency at Shakir Ali Museum in 2018. Her work has been selected for Santorini-Mykonos art fairs Greece 2018 and Izmir Biennale 2019. Currently, she is teaching at University of Education and Sargodha University. Statement Being not confined to a single medium, I categorize myself a visual artist. I have been trained in conventional arts of painting, but did experimentation in my works, maintaining the soul of chosen genre according thought process and concepts. My inspirations stimulate from nature and support me to present all kinds of observations and feelings. I choose representational imagery, recalling all the experiences that are in my subconscious, experimenting with linear elements, which I overlay and deploy in order to create a physical construction with abundant lyricism. Segments of nature are revolved into emotional catharsis as a vital need to express thoughts through a constant methodological and flexible investigation. I try to create images provided with a personal sensibility and originality. They show assured sensations of movement. I am producing art pieces on Wasli using gauche, ink and pointers.",9.84,12.6,,123.984,16,1458,True
3748,AR-513748,Untitled,untitled-161,https://artreserves.com/product/untitled-161/,PKR,70000.0,70000.0,70000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Embroidery &amp; Oil On Canvas,Embroidery &amp; Oil On Canvas,,,24 x 36 INCHES,,24.0,36.0,,864.0,8,0,True
3589,AR-133589,Untitled,untitled-104,https://artreserves.com/product/untitled-104/,PKR,10000.0,10000.0,10000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,20 x 30 INCHES,,20.0,30.0,,600.0,8,0,True
3621,AR-913621,Untitled,untitled-119,https://artreserves.com/product/untitled-119/,PKR,12000.0,12000.0,12000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,20 x 30 INCHES,,20.0,30.0,,600.0,8,0,True
5118,AR-795118,Old Place,old-place,https://artreserves.com/product/old-place/,PKR,12900.0,12900.0,12900.0,False,True,True,,0,0,Oil Paintings|Paintings,Oil Paintings,Oil Paint On Scholar Sheet,Oil Paint On Scholar Sheet,,,16 X 20 INCHES,This Realism painting is of a beautiful place somewhere in Scotland. the painting is done in oil medium on scholar sheet (without frame),16.0,20.0,,320.0,9,136,True
7032,AR-667032,LOVE,love-3,https://artreserves.com/product/love-3/,PKR,15000.0,15000.0,15000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,24 x 36 INCHES,,24.0,36.0,,864.0,4,0,True
1208,AR-751208,The Yellow Door,the-yellow-door-11,https://artreserves.com/product/the-yellow-door-11/,PKR,20000.0,20000.0,20000.0,False,True,True,1,0,0,Acrylic Paintings|Paintings,Acrylic Paintings,Acrylic on Canvas,Acrylic on Canvas,,,24 x 36 INCHES,,24.0,36.0,,864.0,15,0,True
6997,AR-116997,Hard Work,hard-work,https://artreserves.com/product/hard-work/,PKR,10000.0,10000.0,10000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,18 x 24 INCHES,,18.0,24.0,,432.0,9,0,True
1201,AR-371201,The Yellow Door,the-yellow-door-4,https://artreserves.com/product/the-yellow-door-4/,PKR,15000.0,15000.0,15000.0,False,True,True,1,0,0,Paintings,Paintings,Acrylic on Canvas,Acrylic on Canvas,,,18 x 24 INCHES,,18.0,24.0,,432.0,15,0,True
3463,AR-553463,Untitled,untitled-50,https://artreserves.com/product/untitled-50/,PKR,7000.0,7000.0,7000.0,False,True,True,1,0,0,Freedom in Jail|Oil Paintings,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,18 x 24 INCHES,,18.0,24.0,,432.0,8,0,True
3239,AR-893239,Dreamland,dreamland,https://artreserves.com/product/dreamland/,PKR,22000.0,27000.0,22000.0,True,True,True,1,0,0,Acrylic Paintings|Paintings,Acrylic Paintings,Acrylic on Canvas,Acrylic on Canvas,,,24 X 18 INCHES,"The painting depicts our migration from despair, suffering and pain to a land of hope, success and prosperity – A place where we want to be – Our Dreamland.",24.0,18.0,,432.0,9,156,False
6128,AR-166128,White beauty,white-beauty,https://artreserves.com/product/white-beauty/,PKR,10000.0,10000.0,10000.0,False,True,True,1,0,0,Acrylic Paintings|Paintings,Acrylic Paintings,Acrylic and Mix Medium on Canvas,Acrylic and Mix Medium on Canvas,,,18 X 24 INCHES,Its acrylic on canvas as always said horses are beauty of art.,18.0,24.0,,432.0,12,62,True
4424,TA97045,"99 Name of ALLAH, Acrylic painting ,36 by 24 inches by Hafida&#8217;tu Abdil Qadir",99-name-of-allah-acrylic-painting-36-by-24-inches-by-hafidatu-abdil-qadir,https://artreserves.com/product/99-name-of-allah-acrylic-painting-36-by-24-inches-by-hafidatu-abdil-qadir/,PKR,13500.0,13500.0,13500.0,False,True,True,,0,0,Acrylic Paintings|Paintings,Acrylic Paintings,Acrylic on Canvas,Acrylic on Canvas,,,36 X 24 INCHES,This painting will be an eye catching display for your home décor. Calligraphy canvas painting of size 36 × 24 INCHES by Hafida-tu-Abdil Qadir. Sharp and Vibrant Colors. Shining Look. Varnished Surface. Ready to hang canvas. Painting with out frame.,36.0,24.0,,864.0,82,249,False
3665,AR-623665,Untitled,untitled-133,https://artreserves.com/product/untitled-133/,PKR,6000.0,6000.0,6000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,20 x 30 INCHES,,20.0,30.0,,600.0,8,0,True
7552,AR-423895-1,Maries Acrylic Green Pale Color 75ML,maries-acrylic-green-pale-color-75ml,https://artreserves.com/product/maries-acrylic-green-pale-color-75ml/,PKR,310.0,350.0,310.0,True,True,True,2,0,0,Acrylic Paints|Art Supplies,Acrylic Paints,acrylic paint|maries|maries acrylic color|paints,acrylic paint,,,No.503,,,,,,36,0,False
7028,AR-197028,WILD LIFE,wild-life,https://artreserves.com/product/wild-life/,PKR,9000.0,9000.0,9000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,18 x 24 INCHES,,18.0,24.0,,432.0,9,0,True
5634,AR-895634,Journey towards Eternity,journey-towards-eternity,https://artreserves.com/product/journey-towards-eternity/,PKR,230000.0,230000.0,230000.0,False,True,True,1,0,0,Oil Paintings|Paintings,Oil Paintings,Oil on Canvas,Oil on Canvas,,,53.5 X 34.5 INCHES,Painting dipicts the journey of mankind towards Eternity. Each second the world is changing everything is changing. We are not at rest position actually.,53.5,34.5,,1845.75,24,153,True
6372,AR-646372,Melancholy,melancholy,https://artreserves.com/product/melancholy/,PKR,65000.0,65000.0,65000.0,False,True,True,1,0,0,Acrylic Paintings|Paintings,Acrylic Paintings,Acrylic on Canvas,Acrylic on Canvas,,,20 X 18 INCHES,"Pain and suffering are always inevitable for a large intelligence and a deep heart. The really great man must, I think, have greatly sadness on earth.",20.0,18.0,,360.0,10,150,True
4094,AR-644094,Pen (Freedom In Jail),644094,https://artreserves.com/product/644094/,PKR,300.0,300.0,300.0,False,True,True,1,0,0,Crafts,Crafts,Moti Work,Moti Work,,,RS 300 PER PIECE,,,,,,21,0,True
3688,AR-613688,Untitled,untitled-144,https://artreserves.com/product/untitled-144/,PKR,9000.0,9000.0,9000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,24 x 24 INCHES,,24.0,24.0,,576.0,8,0,True
3973,AR-963973,White Petals,white-petals,https://artreserves.com/product/white-petals/,PKR,10000.0,10000.0,10000.0,False,True,True,,0,0,Acrylic Paintings|Paintings,Acrylic Paintings,Acrylic on Canvas,Acrylic on Canvas,,,18 X 12 INCHES,,18.0,12.0,,216.0,12,0,True
2663,AR-552663,Incertitude,incertitude,https://artreserves.com/product/incertitude/,PKR,60000.0,60000.0,60000.0,False,True,True,,0,0,Paintings,Paintings,Gouache on Wasli,Gouache on Wasli,,,8 X 8 INCHES,As an artist I work to develop sculptures that speak to me and to others as well. The reason why I produce art is that I love to communicate with world through my work. My whole idea revolves around human life. The thing which gained my attention is “Human Condition” interpret both negative and positive aspects of being human.,8.0,8.0,,64.0,11,328,True
7026,AR-217026,UNTITLED,untitled-187,https://artreserves.com/product/untitled-187/,PKR,9000.0,9000.0,9000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,18 x 24 INCHES,,18.0,24.0,,432.0,8,0,True
6986,AR-146986,Visitor,visitor,https://artreserves.com/product/visitor/,PKR,12000.0,12000.0,12000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,24 x 30 INCHES,,24.0,30.0,,720.0,7,0,True
5738,AR-365738,Calligraphy,calligraphy-4,https://artreserves.com/product/calligraphy-4/,PKR,5500.0,6000.0,5500.0,True,True,True,,0,0,Calligraphy|Oil Paintings,Calligraphy,Oil on Canvas,Oil on Canvas,,,24 X 12 INCHES,Worse of the Holy Quran.,24.0,12.0,,288.0,11,24,True
3258,AR-863258,Timeless,timeless,https://artreserves.com/product/timeless/,PKR,28000.0,34000.0,28000.0,True,True,True,,0,0,Oil Paintings|Paintings,Oil Paintings,Oil on Canvas,Oil on Canvas,,,24 X 24 INCHES,Time – the most valuable asset that anyone has – An asset that cannot be regained.,24.0,24.0,,576.0,8,82,True
3554,AR-763554,Untitled,untitled-88,https://artreserves.com/product/untitled-88/,PKR,10000.0,10000.0,10000.0,False,True,True,1,0,0,Freedom in Jail|Oil Paintings,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,20 x 30 INCHES,,20.0,30.0,,600.0,8,0,True
3597,AR-213597,Untitled,untitled-108,https://artreserves.com/product/untitled-108/,PKR,8000.0,8000.0,8000.0,False,True,True,1,0,0,Freedom in Jail,Freedom in Jail,Oil on Canvas,Oil on Canvas,,,18 x 24 INCHES,,18.0,24.0,,432.0,8,0,True
1281,AR-481281,Ecstasy II,ecstasy-ii,https://artreserves.com/product/ecstasy-ii/,PKR,95000.0,95000.0,95000.0,False,True,True,1,0,0,Paintings,Paintings,Gouache on Wasli,Gouache on Wasli,,,14.96 x 14.96 INCHES,"Shumaila Islam Biography Born in Lahore, Pakistan, she is M.Phil in studio Practice Finearts from PUCAD. She has acquired training of calligraphy from CCRS-NCA. She has displayed her work in more than 25 group shows on renowned national art platforms and one calligraphy group show in Turkey. She has been part of artist residency at Shakir Ali Museum in 2018. Her work has been selected for Santorini-Mykonos art fairs Greece 2018 and Izmir Biennale 2019. Currently, she is teaching at University of Education and Sargodha University. Statement Being not confined to a single medium, I categorize myself a visual artist. I have been trained in conventional arts of painting, but did experimentation in my works, maintaining the soul of chosen genre according thought process and concepts. My inspirations stimulate from nature and support me to present all kinds of observations and feelings. I choose representational imagery, recalling all the experiences that are in my subconscious, experimenting with linear elements, which I overlay and deploy in order to create a physical construction with abundant lyricism. Segments of nature are revolved into emotional catharsis as a vital need to express thoughts through a constant methodological and flexible investigation. I try to create images provided with a personal sensibility and originality. They show assured sensations of movement. I am producing art pieces on Wasli using gauche, ink and pointers.",14.96,14.96,,223.80160000000004,10,1458,True
