image_id,width_cm,height_cm,size_cm2,aspect_ratio,medium,style,artist_experience_years,artist_previous_sales,artist_reputation_score,country,is_original,edition_size,condition,year_created,time_taken_hours,ai_quality_score,ai_authenticity_score,image_brightness_score,image_contrast_score,composition_score,color_harmony_score,subject_complexity_score,market_demand_index,price_usd
ART_00001,55,32,1760,1.72,ink,impressionism,9,0,3.84,India,0,84,fair,2008,162,0.91,0.71,0.34,0.39,0.99,0.97,0.89,0.72,402.63
ART_00002,56,152,8512,0.37,pastel,realism,21,106,3.33,Pakistan,1,1,fair,2021,171,0.99,0.79,0.71,0.76,0.91,0.99,0.57,0.43,1825.52
ART_00003,38,128,4864,0.30,ink,landscape,10,26,3.47,Pakistan,1,1,excellent,2022,237,0.76,0.91,0.64,0.52,0.67,0.54,0.96,0.48,1134.34
ART_00004,81,119,9639,0.68,watercolor,realism,13,8,3.45,Turkey,1,1,excellent,1997,63,0.97,0.91,0.79,0.75,0.96,0.70,0.36,0.45,2398.67
ART_00005,158,80,12640,1.98,mixed_media,minimalism,1,4,4.60,Japan,0,18,excellent,2000,126,0.91,0.84,0.40,0.51,0.80,0.63,0.54,0.46,2135.68
ART_00006,86,56,4816,1.54,ink,conceptual,14,169,3.71,UK,1,1,fair,1998,229,0.99,0.79,0.85,0.32,0.68,0.78,0.61,0.99,1828.10
ART_00007,134,63,8442,2.13,ink,pop_art,1,60,3.77,Italy,0,8,good,2001,163,0.94,0.66,0.44,0.77,0.79,0.51,0.86,0.88,1631.94
ART_00008,95,160,15200,0.59,gouache,pop_art,20,2,4.36,Turkey,1,1,good,1990,234,0.87,0.70,0.64,0.67,0.55,0.70,0.67,0.42,2448.57
ART_00009,56,60,3360,0.93,ink,minimalism,25,203,4.83,UK,1,1,excellent,2023,220,0.99,0.82,0.74,0.68,0.69,0.58,0.42,0.44,1221.48
ART_00010,129,110,14190,1.17,pastel,impressionism,18,90,3.99,France,1,1,fair,2015,74,0.99,0.94,0.77,0.87,0.63,0.80,0.62,0.81,3237.75
ART_00011,27,136,3672,0.20,watercolor,surrealism,25,204,4.85,India,1,1,good,2024,43,0.96,0.89,0.88,0.80,0.60,0.61,0.82,0.98,2634.98
ART_00012,33,115,3795,0.29,gouache,pop_art,14,341,5.25,Italy,1,1,fair,1998,128,0.99,0.66,0.38,0.58,0.62,0.91,0.74,0.53,1383.52
ART_00013,134,157,21038,0.85,digital,minimalism,3,7,4.69,UAE,1,1,good,2003,181,0.70,0.65,0.88,0.80,0.53,0.91,0.38,0.54,2761.37
ART_00014,133,85,11305,1.56,oil,conceptual,11,343,3.38,France,1,1,good,2000,70,0.99,0.84,0.32,0.83,0.64,0.62,0.78,0.54,4645.31
ART_00015,126,82,10332,1.54,charcoal,conceptual,5,2,3.90,Turkey,0,23,excellent,2022,148,0.66,0.84,0.87,0.73,0.82,0.98,0.50,0.57,1266.34
ART_00016,33,31,1023,1.06,mixed_media,landscape,16,262,4.46,Italy,1,1,new,2003,131,0.95,0.65,0.31,0.32,0.92,0.68,0.59,0.68,1135.81
ART_00017,96,142,13632,0.68,watercolor,expressionism,4,128,3.32,USA,1,1,fair,2005,193,0.99,0.78,0.79,0.48,0.74,0.96,0.67,0.55,2297.03
ART_00018,157,68,10676,2.31,acrylic,conceptual,20,412,4.89,Turkey,1,1,fair,2004,94,0.99,0.90,0.70,0.49,0.85,0.58,0.36,0.47,3382.76
